tier,begin_time,end_time,annotation
on_off,4410000,4530000,4410000_4530000
note,4410000,4530000,"HighVolSampling para VS"
code,6180000,6300000,"cantHabla: 178.566" 
code_num,6180000,6300000,27
on_off,6180000,6300000,6180000_6300000
note,6180000,6300000,"HighVolSampling para VS"
code,4560000,4680000,"cantHabla: 177.741" 
code_num,4560000,4680000,28
on_off,4560000,4680000,4560000_4680000
note,4560000,4680000,"HighVolSampling para VS"
code,3570000,3690000,"cantHabla: 177.583" 
code_num,3570000,3690000,29
on_off,3570000,3690000,3570000_3690000
note,3570000,3690000,"HighVolSampling para VS"
code,11550000,11670000,"cantHabla: 174.98000000000002" 
code_num,11550000,11670000,30
on_off,11550000,11670000,11550000_11670000
note,11550000,11670000,"HighVolSampling para VS"
code,7980000,8100000,"cantHabla: 170.858" 
code_num,7980000,8100000,31
on_off,7980000,8100000,7980000_8100000
note,7980000,8100000,"HighVolSampling para VS"
code,10020000,10140000,"cantHabla: 170.171" 
code_num,10020000,10140000,32
on_off,10020000,10140000,10020000_10140000
note,10020000,10140000,"HighVolSampling para VS"
code,1650000,1770000,"cantHabla: 168.16000000000003" 
code_num,1650000,1770000,33
on_off,1650000,1770000,1650000_1770000
note,1650000,1770000,"HighVolSampling para VS"
code,1830000,1950000,"cantHabla: 162.954" 
code_num,1830000,1950000,34
on_off,1830000,1950000,1830000_1950000
note,1830000,1950000,"HighVolSampling para VS"
code,120000,240000,"cantHabla: 152.327" 
code_num,120000,240000,35
on_off,120000,240000,120000_240000
note,120000,240000,"HighVolSampling para VS"
code,7110000,7230000,"cantHabla: 148.696" 
code_num,7110000,7230000,36
on_off,7110000,7230000,7110000_7230000
note,7110000,7230000,"HighVolSampling para VS"
code,1170000,1290000,"cantHabla: 146.16000000000003" 
code_num,1170000,1290000,37
on_off,1170000,1290000,1170000_1290000
note,1170000,1290000,"HighVolSampling para VS"
code,3000000,3120000,"cantHabla: 143.652" 
code_num,3000000,3120000,38
on_off,3000000,3120000,3000000_3120000
note,3000000,3120000,"HighVolSampling para VS"
code,5310000,5430000,"cantHabla: 143.09" 
code_num,5310000,5430000,39
on_off,5310000,5430000,5310000_5430000
note,5310000,5430000,"HighVolSampling para VS"
code,2280000,2400000,"cantHabla: 141.893" 
code_num,2280000,2400000,40
on_off,2280000,2400000,2280000_2400000
note,2280000,2400000,"HighVolSampling para VS"
code,9150000,9270000,"cantHabla: 138.243" 
code_num,9150000,9270000,41
on_off,9150000,9270000,9150000_9270000
note,9150000,9270000,"HighVolSampling para VS"
code,11070000,11190000,"cantHabla: 135.069" 
code_num,11070000,11190000,42
on_off,11070000,11190000,11070000_11190000
note,11070000,11190000,"HighVolSampling para VS"
code,5580000,5700000,"cantHabla: 130.96200000000002" 
code_num,5580000,5700000,43
on_off,5580000,5700000,5580000_5700000
note,5580000,5700000,"HighVolSampling para VS"
code,11370000,11490000,"cantHabla: 128.91199999999998" 
code_num,11370000,11490000,44
on_off,11370000,11490000,11370000_11490000
note,11370000,11490000,"HighVolSampling para VS"
code,5940000,6060000,"cantHabla: 125.28899999999999" 
code_num,5940000,6060000,45
on_off,5940000,6060000,5940000_6060000
note,5940000,6060000,"HighVolSampling para VS"
code,11670000,11790000,"cantHabla: 124.271" 
code_num,11670000,11790000,46
on_off,11670000,11790000,11670000_11790000
note,11670000,11790000,"HighVolSampling para VS"
code,8430000,8550000,"cantHabla: 123.71200000000002" 
code_num,8430000,8550000,47
on_off,8430000,8550000,8430000_8550000
note,8430000,8550000,"HighVolSampling para VS"
code,990000,1110000,"cantHabla: 123.694" 
code_num,990000,1110000,48
on_off,990000,1110000,990000_1110000
note,990000,1110000,"HighVolSampling para VS"
code,9450000,9570000,"cantHabla: 122.266" 
code_num,9450000,9570000,49
on_off,9450000,9570000,9450000_9570000
note,9450000,9570000,"HighVolSampling para VS"
